rank,name,currency,issuer,md5,vol24hxrp,marketcap,holders,candidate_source,token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
5,PHNIX,50484E4958000000000000000000000000000000,rDFXbW2ZZCG5WgPtqwNiA2xZokLMm9ivmN,ef02bf7d8b650fc962227d2a52261383,95197.855059,9196659.031268239,28499,xrplto_current_vol24hxrp_top80,50484E4958000000000000000000000000000000,rDFXbW2ZZCG5WgPtqwNiA2xZokLMm9ivmN,11011,41,10787,10787,7357,279,265
28,aura,6175726100000000000000000000000000000000,rpjuvqrH37RGzb88UVibzCQYSNrM9FxJDy,eeb88d4c8603954d20b895346c3392e8,7015.860478,101410.65580188678,616,xrplto_current_vol24hxrp_top80,6175726100000000000000000000000000000000,rpjuvqrH37RGzb88UVibzCQYSNrM9FxJDy,10188,3,10181,10181,7523,12,10
15,DROP,44524F5000000000000000000000000000000000,rszenFJoDdiGjyezQc8pME9KWDQH43Tswh,233d2c15a1c1288bb65b318ab1846e58,18124.184165,3027592.7141528716,11520,xrplto_current_vol24hxrp_top80,44524F5000000000000000000000000000000000,rszenFJoDdiGjyezQc8pME9KWDQH43Tswh,9099,19,9046,9046,5489,72,72
29,Teddy,5465646479000000000000000000000000000000,r9Qk4VGodriw2xKLG9sRbTXWgknkz9TkDd,434f7fb817245e2632ef295da5f896c7,6489.171403,94467.58361093962,526,xrplto_current_vol24hxrp_top80,5465646479000000000000000000000000000000,r9Qk4VGodriw2xKLG9sRbTXWgknkz9TkDd,8920,2,256,256,216,8666,8666
42,CNY,CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,0f036e757e4aca67a2d4ae7aab638a95,3831.120033,3745527.8768964885,11781,xrplto_current_vol24hxrp_top80,CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,7159,468,4619,4619,2503,3326,3008
52,MAG,MAG,rXmagwMmnFtVet3uL26Q2iwk287SRvVMJ,ecad254610c4cb630643f22796666338,2375.805441,881835.3146324283,8284,xrplto_current_vol24hxrp_top80,MAG,rXmagwMmnFtVet3uL26Q2iwk287SRvVMJ,5840,58,641,641,620,5327,5257
49,gei,gei,raadqNCqPHhqpb5HEMBjbfFa21YYu9GWfW,5c7df3d31bff6d12f145041f6d4a760c,2489.759371,142988.32543655194,665,xrplto_current_vol24hxrp_top80,gei,raadqNCqPHhqpb5HEMBjbfFa21YYu9GWfW,4757,2,4754,4754,2567,5,5
16,ATM,ATM,raDZ4t8WPXkmDfJWMLBcNZmmSHmBC523NZ,e648277bcf0b8c336c22a619f7ca30a2,16464.731283,593673.329577046,11952,xrplto_current_vol24hxrp_top80,ATM,raDZ4t8WPXkmDfJWMLBcNZmmSHmBC523NZ,3796,22,3772,3772,2689,49,46
3,XPM,XPM,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa,,,,,existing_full_chain,XPM,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa,3421,50,334,334,300,3238,3137
18,BEAR,4245415200000000000000000000000000000000,rBEARGUAsyu7tUw53rufQzFdWmJHpJEqFW,756591d27576054e07c93fe90e7c1d25,12593.396798,953294.5812415184,13468,xrplto_current_vol24hxrp_top80,4245415200000000000000000000000000000000,rBEARGUAsyu7tUw53rufQzFdWmJHpJEqFW,2506,28,2406,2406,1782,139,128
58,JESTER,4A45535445520000000000000000000000000000,rsax5bX1Z3ks7KBsApepAoCuX177aYAhwV,f7f338585b618e057bad3987a34dec03,1899.635237,79952.9073192099,327,xrplto_current_vol24hxrp_top80,4A45535445520000000000000000000000000000,rsax5bX1Z3ks7KBsApepAoCuX177aYAhwV,2496,33,2407,2407,1622,126,122
38,mXRP,6D58525000000000000000000000000000000000,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,61ad6070ada9f2b75aa8083b62fc4a9f,4095.060496,1288310.0315016683,2079,xrplto_current_vol24hxrp_top80,6D58525000000000000000000000000000000000,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,2077,0,90,90,71,2060,1987
