balanced_rank,token_label,token_currency,token_issuer,dex_tx_count,amm_tx_count,clob_tx_count,both_sides_min_tx,both_sides_hmean_tx,balance_ratio,overlap_tx_count,overlap_share_of_min,amm_unique_ledger_count
17,WBC,WBC,rnFdeZggmwKLXGaHvTL4aTwfEsPPXV5FHa,5064,4531,719,719,1241.0624761904762,0.1586846170823218,186,0.25869262865090403,4443
18,MAG,MAG,rXmagwMmnFtVet3uL26Q2iwk287SRvVMJ,5840,641,5257,641,1142.671074940658,0.12193266121361994,58,0.0904836193447738,620
19,CBIRD,4342495244000000000000000000000000000000,rHcU3JWTp7fnea3xgvbV8pCbEp9S3HjSUz,27196,622,26579,622,1215.5536928789384,0.023401933857556716,5,0.008038585209003215,482
20,XLM,XLM,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,1527,986,606,606,750.6482412060302,0.6146044624746451,65,0.10726072607260725,739
21,WETH,5745544800000000000000000000000000000000,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,1446,1013,436,436,609.6176673567978,0.43040473840078974,3,0.006880733944954129,883
22,REAL,5245414C00000000000000000000000000000000,rKVyXn1AhqMTvNA9hS6XkFjQNn2VE8Nz88,4078,3813,433,433,777.6867640131888,0.11355887752425911,168,0.38799076212471134,2922
23,PNL,PNL,ra3Qc2ird413RYwtX433LciKJ3cXgJo8xQ,3132,2862,431,431,749.178256908594,0.15059399021663172,161,0.37354988399071926,2211
24,USDC,5553444300000000000000000000000000000000,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,1250,851,409,409,552.4746031746032,0.4806110458284371,10,0.02444987775061125,693
25,USD,USD,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,1072,727,398,398,514.3928888888889,0.547455295735901,53,0.13316582914572864,679
26,USD,USD,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,1097,788,396,396,527.1081081081081,0.5025380710659898,87,0.2196969696969697,673
27,srfx,7372667800000000000000000000000000000000,rDgBV9WrwJ3WwtRWhkekMhDas3muFeKvoS,1358,1067,393,393,574.4260273972603,0.3683223992502343,102,0.2595419847328244,753
