token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
46454E5249520000000000000000000000000000,rDy9JtWPvAJL4aL4D1zFL16j2wjxS1L5BX,2900,10,2894,2894,2013,17,16
515A696C6C610000000000000000000000000000,rUwZzhDKFLcgK87jeJumy5sfLk3XXKUDWh,2774,0,2774,2774,2773,0,0
534F4C414E410000000000000000000000000000,rUDojN2LXbU3Z8UeaAVeRHpLn2TQt3nnrR,2740,60,2720,2720,1907,81,80
4641464F00000000000000000000000000000000,rNc4mEgUohwTEV7uiK1nurNE1BmZi9sPjS,2676,12,2669,2669,1307,19,19
4D4F4F4E00000000000000000000000000000000,r3WPc1mesNcv7eEUZJc4UUaxCdvAcq4TRo,2556,6,2555,2555,1564,8,7
4245415200000000000000000000000000000000,rBEARGUAsyu7tUw53rufQzFdWmJHpJEqFW,2506,28,2406,2406,1782,139,128
4245525441000000000000000000000000000000,r96WFovuueDL4YXAxrAijSFP7hY1952zGy,2499,0,2499,2499,1339,0,0
4A45535445520000000000000000000000000000,rsax5bX1Z3ks7KBsApepAoCuX177aYAhwV,2496,33,2407,2407,1622,126,122
XDX,rMJAXYsbNzhwp7FfYnAsYP5ty3R9XnurPo,2398,12,2355,2355,829,63,55
4341545641580000000000000000000000000000,r3Dxjo8Atm6MqiJyaCXezSuktTzS9uKZ1i,2370,0,2370,2370,900,0,0
24464C4950505900000000000000000000000000,rsENFmELvj92orrCKTkDTug53MzwsB7zBd,2357,2,2356,2356,1408,3,3
5368657250657065000000000000000000000000,r9DDsqsG73ETWeSWZW3P758AaoVeFWiX69,2319,15,2309,2309,1592,25,25
474F4C4400000000000000000000000000000000,rMELDgMrr8nvbhnb8oiP5aHWakqPJLh5Rn,2159,16,2113,2113,1075,63,62
53494C5645520000000000000000000000000000,rMELDgMrr8nvbhnb8oiP5aHWakqPJLh5Rn,2144,4,2123,2123,1032,29,25
